,author,updated_at,like_count,text,public
109,@lucknut4560,2025-03-19T13:40:00Z,0,"Suka sama iu nya, simpel kyk pixel",True
110,@AbdulAzizKhozin,2025-03-19T13:31:49Z,1,Bang. Tolong bandingin spek Moto G45 5G ini  dg Tecno Camon 40. Thanx!,True
111,@robyhernes,2025-03-19T11:04:29Z,0,Jadi ini motor apa smartphone ?,True
112,@arieeef27_,2025-03-19T08:24:54Z,0,yg warna ijonya cakep euy,True
113,@s.a.romadhaniputra361,2025-03-19T05:23:02Z,0,warnanya RGB nih,True
114,@nununugraha6992,2025-03-19T03:24:47Z,2,kok ga cobain papji bang,True
115,@ubay4767,2025-03-18T21:30:53Z,0,"Untung Bukan Villain atau NPC, nih HP kwkwkwkw, Jadi Masih Bisa di pakai Daily hasil kamera mantep stabil di kelasnya",True
116,@hadisalam3310,2025-03-18T20:36:13Z,0,Kecepatan internetnya gimana bang?,True
117,@animesongid1645,2025-03-18T12:52:44Z,1,Aku baru beli apa tdk ada fitur bawaan galeri/album ya kok foto saya masuk foto google langsung,True
118,@helmirahayuilyas3344,2025-03-18T12:51:09Z,1,Seneng saya ngeliat legenda pada balik lagi,True
119,@jihanbaniubaidah4980,2025-03-18T11:39:58Z,0,Gas beli😊,True
120,@aeroxyz5626,2025-03-18T10:53:54Z,1,Made in Batam 😁,True
121,@AkrayTube,2025-03-18T09:16:38Z,0,"bs buat main game ga smart conect, jd g perlu emulator d laptop bng?",True
122,@RnandaProject,2025-03-18T05:15:24Z,0,"Hpnya cocok buat ibuk ibuk FB pro, siap sedia vidio 🤣 wkwk",True
123,@zombiesamurai9160,2025-03-18T04:50:02Z,0,"minta satu dong bang yg merah,buat ibu aku biar bisa tlp",True
124,@yanapermana8963,2025-03-18T03:54:59Z,0,Keren uy spesifikasinya design keren juga,True
125,@second.account2991,2025-03-17T18:44:42Z,0,"Mantap Motorola✅
Merk idaman Tahun 2000an waktu SD/SMP😀
Apalagi Seri Razr / Roker nya itu wuihhh mantap......
Sayang cuma Kebeli Tabloid Pulsa Waktu itu, Tapi Hapenya gak Kebeli,
Jadi Menghayal Tiap Mau Tidur Setelah Baca2 Tabloid Pulsa...wkkwkwkwk

Sayangnya pas Saya Udah bisa Cari uang Sendiri, Malah Out Dari Infonesia Motorola ini🙏",True
126,@citycity-g8t,2025-03-17T17:42:37Z,0,nonton ini pakai Redmi note 1 cukup jadul,True
127,@Arjun-to,2025-03-17T16:14:23Z,0,Mau beli bagusan nubia neo2 apa motoroa 5g,True
128,@SiapaAku009,2025-03-17T11:43:44Z,0,kalau kamera sama iqoo z9x bagus mana ya?,True
129,@muthiillahwarni656,2025-03-17T10:59:10Z,1,Poco M6 pro atau moto g45?? Tolong galauu banget nih,True
130,@Covid-qg8qp,2025-03-17T09:12:23Z,0,"Geli banget 2,5jt Bezel tebel, layar 720p😢seliweran Mulu lagi di semua channel. Kalo cuma ngejar 5g sih masih bnyk hp Laen. Pendatang baru bikin gebrakan kek, malah haduhhh haduhh kacau",True
131,@adipratomooke,2025-03-17T08:19:44Z,0,Udah bisa eSIM belum ya?,True
132,@PilarWaktu,2025-03-16T23:00:04Z,1,"Kameranya kurang Tajem ya, tapi si tone nya itu selalu keren, enak aja di pandang",True
